coucode,casecode,dGDP
1,21,0.0362444848778843
1,22,0.00745860063797049
1,24,0.00283652770324011
1,33,0.0247510284517258
1,20,0.152491400332356
1,0,0.22414562228213
2,21,0.0364230973294533
2,22,0.00598374431237798
2,24,0.00429926732748856
2,33,0.0215177436529518
2,20,0.130913598776697
2,0,0.199137440715015
3,21,0.036499020478299
3,22,0.00472329119186317
3,24,0.00411364871405648
3,33,0.0237025341312234
3,20,0.125448943997785
3,0,0.194523205616335
4,21,0.0352694569081948
4,22,0.00751934690805441
4,24,0.00409085010381525
4,33,0.0252340417333993
4,20,0.125326237913601
4,0,0.198309213964507
5,21,0.0366701187997966
5,22,0.00850297449451314
5,24,0.00436955454874791
5,33,0.0290435935588367
5,20,0.160150487109593
5,0,0.238735873165323
6,21,0.0358882712908196
6,22,0.00787249378980816
6,24,0.0042118199364867
6,33,0.0279587689631737
6,20,0.167668943870582
6,0,0.244443420569662
7,21,0.0365827463320418
7,22,0.00855138862724406
7,24,0.00414213140811458
7,33,0.0238546625084474
7,20,0.145176373888967
7,0,0.218307411952417
8,21,0.03632441162746
8,22,0.00546538956907734
8,24,0.00368075660250468
8,33,0.026084885500735
8,20,0.106636057319503
8,0,0.178647264572686
9,21,0.0365187901374389
9,22,0.00902055206249214
9,24,0.00435686112105832
9,33,0.0250718358941913
9,20,0.0485685346370473
9,0,0.123089515439748
10,21,0.0361025657301105
10,22,0.00767869523925278
10,24,0.00345750789660326
10,33,0.0239625182249895
10,20,0.0857500165061138
10,0,0.156951613294861
11,21,0.0366154887633436
11,22,0.00877929691989524
11,24,0.00434149807620739
11,33,0.0234895425824832
11,20,0.100692665050974
11,0,0.173918163717587
12,21,0.0362104015771135
12,22,0.00865348257607504
12,24,0.00397209937115063
12,33,0.0210408839865201
12,20,0.0884903784504979
12,0,0.158590105974757
13,21,0.0363343858937853
13,22,0.00766185681295244
13,24,0.00334701069194711
13,33,0.0229941174352235
13,20,0.0896588962264401
13,0,0.159996353559232
14,21,0.0345468444000499
14,22,0.00839303416758554
14,24,0.00431354921779587
14,33,0.0202814313884886
14,20,0.0929856857095413
14,0,0.160927585121708
15,21,0.0363291884456598
15,22,0.00873910474787563
15,24,0.00433530002232608
15,33,0.0242408632893316
15,20,0.0961499808924198
15,0,0.169794707677056
16,21,0.0363782300836052
16,22,0.00762614576994204
16,24,0.00435782236770685
16,33,0.0206188604570747
16,20,0.0850900210965946
16,0,0.154071078834484
17,21,0.0364393406834082
17,22,0.00878047753670255
17,24,0.00428618810316764
17,33,0.0256346149957913
17,20,0.102815459666713
17,0,0.178029333806788
18,21,0.0365187663812793
18,22,0.00690296597137421
18,24,0.00436692146017155
18,33,0.0283916423680727
18,20,0.0297582966522532
18,0,0.105934398803272
19,21,0.035567079694311
19,22,0.00835330989903513
19,24,0.00367580838141358
19,33,0.0263185123263348
19,20,0.0944544331466822
19,0,0.168736565673734
20,21,0.0331541890408958
20,22,0.00478822932233068
20,24,0.00345249579133549
20,33,0.0243822831634573
20,20,0.0816661156835303
20,0,0.147443394768865
21,21,0.036203531332537
21,22,0.00806208407679593
21,24,0.00400605679957004
21,33,0.0289548169034319
21,20,0.0858418817661168
21,0,0.163163904083564
22,21,0.0356686428336628
22,22,0.00803284725323482
22,24,0.00360371795778295
22,33,0.0215022985020103
22,20,0.096234203443736
22,0,0.165041685470054
23,21,0.0366757229076048
23,22,0.00739195905558334
23,24,0.00404532530452534
23,33,0.026668813251025
23,20,0.0869972329514865
23,0,0.161777985202281
24,21,0.0362652116465911
24,22,0.00824636357667849
24,24,0.00420566039640834
24,33,0.0253341992479108
24,20,0.0979847407895073
24,0,0.172034709366495
25,21,0.0356341546915524
25,22,0.00787929933982007
25,24,0.00431386262821633
25,33,0.0278231449745193
25,20,0.0930987936070629
25,0,0.169014717727047
26,21,0.0351001806690093
26,22,0.00826752908389152
26,24,0.00430904308900867
26,33,0.0270368676968384
26,20,0.0944894239461805
26,0,0.169560254681355
27,21,0.0353316113721472
27,22,0.00717634896982163
27,24,0.00355224043369577
27,33,0.0173146194597642
27,20,0.107540188624953
27,0,0.170914871404615
28,21,0.0361592359060826
28,22,0.00114990150219869
28,24,0.0043194381334528
28,33,0.0190813981116939
28,20,0.05861464469876
28,0,0.119336374530187
29,21,0.0366672441059092
29,22,0.00556508690836911
29,24,0.00437034140119602
29,33,0.0242612620819729
29,20,0.0692718425345743
29,0,0.140135005903378
30,21,0.036676970933899
30,22,0.00778664616409968
30,24,0.00392850796189577
30,33,0.0281207558759018
30,20,0.0954463991046935
30,0,0.171959279854223
31,21,0.0360204962836119
31,22,0.00768867427200959
31,24,0.00436986719251508
31,33,0.0192462385754133
31,20,0.0332950133758555
31,0,0.100720834435825
32,21,0.0358211428953023
32,22,0.00696989689308599
32,24,0.0041270386889263
32,33,0.0254010293085887
32,20,0.0896327593325622
32,0,0.162320332508875
33,21,0.0355526313012642
33,22,0.00600490098016954
33,24,0.00346229130331617
33,33,0.0246108567301179
33,20,0.090805661204419
33,0,0.160436282428085
34,21,0.0338562708816678
34,22,0.0058663138588389
34,24,0.00401115336593049
34,33,0.0233069054859081
34,20,0.0972709222044777
34,0,0.16431153565225
35,21,0.0364161530691316
35,22,0.00640738893460267
35,24,0.00405015688846917
35,33,0.0274046084136884
35,20,0.0875380052577753
35,0,0.161816328198223
36,21,0.0338603827462843
36,22,0.00605621464519679
36,24,0.0038708139638468
36,33,0.0151147396390471
36,20,0.0606507021435094
36,0,0.119587957959788
37,21,0.0351938739091226
37,22,0.00866332143056189
37,24,0.00413279955867081
37,33,0.0264463710236298
37,20,0.107226062128183
37,0,0.181785926371868
38,21,0.0327900463286806
38,22,0.00792969041724991
38,24,0.00292452455247287
38,33,0.0218860478225009
38,20,0.0376076063966393
38,0,0.103010071109125
39,21,0.0332776664289953
39,22,0.00714253463951711
39,24,0.00373565447555309
39,33,0.0212592704943136
39,20,0.0325120804460898
39,0,0.0979271941786978
40,21,0.0365061104558844
40,22,0.00816607246350969
40,24,0.0041207846890577
40,33,0.0222196445334578
40,20,0.0889567027213977
40,0,0.159967975738004
41,21,0.0365425891742298
41,22,0.00787892431174888
41,24,0.00435002502755246
41,33,0.024532924746142
41,20,0.085558534612256
41,0,0.158863017649403
42,21,0.0364294882519399
42,22,0.00828544362575232
42,24,0.00437042317783517
42,33,0.0285580675631326
42,20,0.0922158746399172
42,0,0.169856872712548
43,21,0.036269287845129
43,22,0.0070988104059268
43,24,0.00419364979561894
43,33,0.0284966024838663
43,20,0.0896778567597136
43,0,0.165911738400337
