country,industry,c22,c23,c25,c34,c21,all5
FRA,1,0.0444,0.00074,0.00012,0.00403,0.01388,0.06232
FRA,2,0.00735,0.00408,0.00034,0.00739,0.1224,0.14155
FRA,3,0.06446,0.00099,0.0002,0.00454,0.01152,0.08096
FRA,4,0.0032,0.00056,0.0001,0.00669,0.23077,0.24199
FRA,5,0,0,0,0,0.0295,0.03021
FRA,6,0.00808,0.00178,0.00025,0.01729,0.18074,0.20824
FRA,7,0.01155,0.0043,0.00047,0.03347,0.26337,0.31353
FRA,8,0.01192,0.02856,0.00218,0.01144,0.33255,0.38723
FRA,9,0.00202,0.00075,8.31164724198752E-05,0.00246,0.20723,0.21316
FRA,10,0.00739,0.00515,0.00057,0.00622,0.17543,0.1952
FRA,11,0.0126,0.00353,0.00024,0.00863,0.11658,0.14149
FRA,12,0.00426,0.00234,0.00039,0.00463,0.10749,0.11954
FRA,13,0.00467,0.00161,0.00021,0.00462,0.11571,0.12732
FRA,14,0.00211,0.00103,0.00019,0.0038,0.10416,0.11184
FRA,15,0.00067,0.00135,0.00129,0.00108,0.17709,0.18215
FRA,16,0.00397,0.00098,0.00017,0.01081,0.29408,0.31065
FRA,17,0.01911,0.00652,0.00031,0.02161,0.06506,0.11212
FRA,18,0.00215,0.00165,0.00018,0.00707,0.01105,0.02099
FRA,19,0.01528,0.01157,0.00039,0.0091,0.52283,0.55974
FRA,20,0.02217,0.00664,0.00066,0.01084,0.34414,0.38486
FRA,21,0.02313,0.00402,0.00047,0.00945,0.38805,0.42555
FRA,22,0.65399,0.00517,0.00039,0.01136,0.04185,0.71576
FRA,23,0.01457,0.39685,0.00041,0.01161,0.07745,0.50324
FRA,24,0.00366,0.00238,0.00019,0.00167,0.01143,0.01822
FRA,25,0.00224,0.00137,0.17108,0.00448,0.01,0.19308
FRA,26,0.02321,0.04446,0.00311,0.02162,0.13439,0.22697
FRA,27,0.01629,0.00562,0.00066,0.02682,0.08773,0.13665
FRA,28,0.01736,0.01129,0.00085,0.01998,0.08904,0.13808
FRA,29,0.00842,0.00291,0.00024,0.00805,0.03391,0.05258
FRA,30,0.01699,0.00928,0.00103,0.02255,0.10629,0.15593
FRA,31,0.00124,0.00065,6.09787929924943E-05,0.00515,0.00423,0.01015
FRA,32,0.00222,0.00342,0.00042,0.00248,0.01135,0.01878
FRA,33,0.0011,0.00034,3.345577217162E-05,0.00221,0.00011,0.00257
FRA,34,0.0089,0.00268,0.00029,0.61451,0.03159,0.66079
FRA,35,0.00063,0.00026,1.98813671371534E-05,0.00034,0,-2.22044604925031E-16
