coucode,casecode,dGDP
1,21,0.0366245861180844
1,22,0.00216180011921551
1,24,0.00284059511247548
1,33,0.025031153776729
1,20,0.117177752120457
1,0,0.183835887246962
2,21,0.0364231073370553
2,22,0.00170805820692257
2,24,0.00429926980825837
2,33,0.0215177318234766
2,20,0.0995527261257599
2,0,0.163500893301473
3,21,0.0366106906937209
3,22,0.00135016948212616
3,24,0.00411431129189333
3,33,0.023755442492418
3,20,0.0972491522857254
3,0,0.163079766245884
4,21,0.0358272496285615
4,22,0.00229893438489628
4,24,0.00426718656503377
4,33,0.0262930377262975
4,20,0.110295811198986
4,0,0.178982219503775
5,21,0.0366701191672218
5,22,0.00242716701571004
5,24,0.00436955259376888
5,33,0.0290435702034468
5,20,0.1244698329512
5,0,0.196980241931348
6,21,0.0366769958927988
6,22,0.00230749956220164
6,24,0.00436500397490439
6,33,0.028848180519557
6,20,0.131818360485442
6,0,0.204016040434904
7,21,0.036582724246481
7,22,0.00244098848881009
7,24,0.0041421346752542
7,33,0.0238546713588034
7,20,0.117132493621016
7,0,0.184153012390365
8,21,0.0366769958927988
8,22,0.00160299781836033
8,24,0.00369122093281138
8,33,0.0266047994431325
8,20,0.0787637257329213
8,0,0.147339739820024
9,21,0.0366658790913978
9,22,0.00257555921147386
9,24,0.00437049875840548
9,33,0.0254228788759518
9,20,0.0707358913684891
9,0,0.139770707305718
10,21,0.0361025643272817
10,22,0.0021918762742163
10,24,0.00345751271970027
10,33,0.0239624982037831
10,20,0.104762413270769
10,0,0.17047686479575
11,21,0.036615529275914
11,22,0.00250604302320213
11,24,0.00434149969512094
11,33,0.0234895252026057
11,20,0.127563326776007
11,0,0.19451592397285
12,21,0.0365389633734384
12,22,0.00248129633465495
12,24,0.00397620969401067
12,33,0.0214850080303997
12,20,0.103555314919844
12,0,0.168036792352347
13,21,0.0363343754002463
13,22,0.00218707035523592
13,24,0.0033470108646017
13,33,0.0229941130847381
13,20,0.101052147702775
13,0,0.165914717407596
14,21,0.0358038097843497
14,22,0.00244280075304382
14,24,0.00432920520801092
14,33,0.0210486028906305
14,20,0.106429568636247
14,0,0.170053987272282
15,21,0.0363291883623229
15,22,0.00249457044823623
15,24,0.00433529879941226
15,33,0.024240898778139
15,20,0.104032029672964
15,0,0.171431986061075
16,21,0.0363782192313356
16,22,0.0021768772226463
16,24,0.00435782117172767
16,33,0.0206188426585791
16,20,0.10963437720265
16,0,0.173166137486939
17,21,0.0365238280709394
17,22,0.00252387133187584
17,24,0.00431292616061942
17,33,0.0257166864135991
17,20,0.126654014211783
17,0,0.195731326188817
18,21,0.0365187652087495
18,22,0.0019704438834994
18,24,0.00436692119940743
18,33,0.0283916433083439
18,20,0.0878594364677241
18,0,0.159107210067724
19,21,0.0364131227299453
19,22,0.00242388426410265
19,24,0.00368002411651148
19,33,0.0269210330827676
19,20,0.117071690339009
19,0,0.186509754532336
