coucode,casecode,indcode,ecorisk,dCi
1,21,1,0.10260080714759,-0
1,21,2,0.0176342916513855,-0
1,21,3,0.169784252451687,-0
1,21,4,0.0190056453722639,-0
1,21,5,0.0097255471576928,NaN
1,21,6,0.0373582847529627,-0
1,21,7,0.0191617416665479,-0
1,21,8,0.0185071344449981,-0
1,21,9,0.0201994061738709,-0
1,21,10,0.0129781207599664,NaN
1,21,11,0.0154126008348181,-0
1,21,12,0.0203095315931251,-0
1,21,13,0.0143796276450556,-0
1,21,14,0.0096059743983663,-0
1,21,15,0.0147917461802496,-0
1,21,16,0.036294440843316,-0
1,21,17,0.0068618801157686,-0
1,21,18,0.0122333791514099,-0
1,21,19,0.0244874360271807,-0
1,21,20,0.0099096919970949,-0
1,21,21,0.758547284301498,0.898713940547889
1,21,22,0.0274563335056216,-0
1,21,23,0.0225813242883003,-0
1,21,24,0.0293786161734954,-0
1,21,25,0.0203840371210778,-0
1,21,26,0.0173099462778196,-0
1,21,27,0.0225143396929574,-0
1,21,28,0.021708587123533,-0
1,21,29,0.0311528381089736,-0
1,21,30,0.0028389887042235,-0
1,21,31,0.00120739022811112,-0
1,21,32,0.000396631742071385,-0
1,21,33,0.0123674221464294,-0
1,21,34,0.00184443025813363,-0
1,22,1,0.000650096404008371,-0
1,22,2,0.0048808083124271,-0
1,22,3,0.000502609283065336,-0
1,22,4,0.00197450372536223,-0
1,22,5,0.00123850969071737,NaN
1,22,6,0.00198739635483969,-0
1,22,7,0.0109768298922077,-0
1,22,8,0.00136915736769283,-0
1,22,9,0.00374076426220271,-0
1,22,10,0.0012278611135268,NaN
1,22,11,0.00288772262695136,-0
1,22,12,0.00308336037895651,-0
1,22,13,0.00213603695619491,-0
1,22,14,0.00539885917488891,-0
1,22,15,0.00139601812277124,-0
1,22,16,0.00207311162799328,-0
1,22,17,0.000832211210306411,-0
1,22,18,0.0188637467629603,-0
1,22,19,0.00258274224242983,-0
1,22,20,0.00146367957014482,-0
1,22,21,0.000595925862405644,-0
1,22,22,0.104239653512225,0.215632441538677
1,22,23,0.00388232562424096,-0
1,22,24,0.00340696823609998,-0
1,22,25,0.00476720087482352,-0
1,22,26,0.00314326867054149,-0
1,22,27,0.00181955005798551,-0
1,22,28,0.00111717532560951,-0
1,22,29,0.00294839106640954,-0
1,22,30,0.000791110424364638,-0
1,22,31,0.00017073052348815,-0
1,22,32,3.31206599034628e-05,-0
1,22,33,0.00190858418228435,-0
1,22,34,0.000232323379427246,-0
1,24,1,8.01800401282193e-05,-0
1,24,2,0.00119651316637592,-0
1,24,3,7.76452952201412e-05,-0
1,24,4,0.000170601252634461,-0
1,24,5,0.0001250237435243,NaN
1,24,6,0.000360213584725488,-0
1,24,7,0.00325922417695557,-0
1,24,8,0.000158596463052274,-0
1,24,9,0.000226880175814737,-0
1,24,10,0.000134287509930053,NaN
1,24,11,0.000266958654850602,-0
1,24,12,0.000298119657121565,-0
1,24,13,0.000277165922603073,-0
1,24,14,0.00151262792132945,-0
1,24,15,0.000148895106830138,-0
1,24,16,0.000244385245590117,-0
1,24,17,8.18341707581327e-05,-0
1,24,18,0.000203479095758796,-0
1,24,19,0.000353485011505339,-0
1,24,20,7.4176436882456e-05,-0
1,24,21,0.000129194629253204,-0
1,24,22,0.000479152783887549,-0
1,24,23,0.000693990083331153,-0
1,24,24,0.0242074703094817,0.58495260217977
1,24,25,0.00140218318422736,-0
1,24,26,0.000264649721972821,-0
1,24,27,0.000185800470537845,-0
1,24,28,0.000128132523949165,-0
1,24,29,0.000607957255795211,-0
1,24,30,4.79468097496216e-05,-0
1,24,31,2.05760500059382e-05,-0
1,24,32,4.09677426604915e-06,-0
1,24,33,0.000213476235654153,-0
1,24,34,2.7859251699569e-05,-0
1,33,1,0.013850143994005,-0
1,33,2,0.0111633600283205,-0
1,33,3,0.0136555997826576,-0
1,33,4,0.0170226887279938,-0
1,33,5,0.0104056123015456,NaN
1,33,6,0.0232128808121239,-0
1,33,7,0.0120099157746298,-0
1,33,8,0.0286662636733941,-0
1,33,9,0.0162445785958487,-0
1,33,10,0.00872970149790719,NaN
1,33,11,0.017350220311682,-0
1,33,12,0.0417891912799978,-0
1,33,13,0.0211349843846562,-0
1,33,14,0.00822411678814838,-0
1,33,15,0.0660277041681328,-0
1,33,16,0.0112872391672527,-0
1,33,17,0.00300537297037773,-0
1,33,18,0.0106367772840964,-0
1,33,19,0.018332249053318,-0
1,33,20,0.00774427327665417,-0
1,33,21,0.00433135008446284,-0
1,33,22,0.0109694741204931,-0
1,33,23,0.0109758862645264,-0
1,33,24,0.0334185419492861,-0
1,33,25,0.013693657439995,-0
1,33,26,0.0228664704750895,-0
1,33,27,0.0080650103332035,-0
1,33,28,0.00588129785420177,-0
1,33,29,0.0243180730045307,-0
1,33,30,0.00372617938459086,-0
1,33,31,0.00171265985424041,-0
1,33,32,0.000289778326460488,-0
1,33,33,0.470996254920369,0.775133110111841
1,33,34,0.00212381762508418,-0
1,20,1,0.0436392831523112,-0
1,20,2,0.191679635462641,0.163742667883981
1,20,3,0.0274095714018063,-0
1,20,4,0.408146426176171,0.720412296225763
1,20,5,0.0404054411318554,NaN
1,20,6,0.263473306134423,0.541199310966665
1,20,7,0.335387365550831,0.846
1,20,8,0.0495459920611708,-0
1,20,9,0.191962100026798,0.46112608898423
1,20,10,0.0287655405106987,NaN
1,20,11,0.128826379949149,0.460770003167785
1,20,12,0.14344904886942,0.195319016064718
1,20,13,0.252267064417463,0.561082756672004
1,20,14,0.309227653816765,0.37709160149981
1,20,15,0.304855845111587,0.540490825826217
1,20,16,0.0575447531686463,-0
1,20,17,0.013129574503237,-0
1,20,18,0.498869830605981,0.845508202680752
1,20,19,0.226577513919733,0.350508311518871
1,20,20,0.424471545843425,0.492043983634947
1,20,21,0.0130838470535239,-0
1,20,22,0.214271032607545,0.358597438971999
1,20,23,0.0716437093814204,-0
1,20,24,0.0876453750581458,-0
1,20,25,0.0748794189057361,-0
1,20,26,0.0627220132494413,-0
